imdbID,Title,Year,Rating10,Review,WatchedDate,SafeForParents,SafeForKids
tt0388795,Brokeback Mountain,2005,8.0,"Mostra o quão hétero pode ser um romance gay. Pô, não é clássico cinema à toa. Tipo, todas as nuances do filme, toda a complexidade dos sentimentos e das situações. O filme é um pouco lento, mas entendo que é um ritmo necessário para contar a história.",2024,False,False
tt1570728,"Crazy, Stupid, Love.",2011,8.8,"comédia romântica com Emma Stone, Steve Carell e literalmente eu. Pô, muito divertido. Tem um ritmo muito legal e é um filme de fácil digestão, além de ter uma das melhores cenas já feitas de todos os tempos, se vc assistiu ao filme você sabe qual cena é essa.",2024,False,False
tt3666526,Get Out,2017,8.5,"olha, eu geralmente não gosto de filmes de terror. Mas esse aqui é muito bom. Filmaço.",2024,False,False
tt0211915,Amélie,2001,8.0,"É um filme francês, bem cult. E o filme é muito criativo e com muita personalidade. Tive um pouco de dificuldade de me conectar pq o filme tem uma estrutura diferente e ele é todo colorido por uma paleta de cores bem específica, mas dá pra entender pq esse filme é o preferido de muita gente.

Inclusive dá vontade de ir a frança depois de assistir esse filme, mas é só ver uma foto real do lugar que a vontade vai embora.",2024,False,False
tt14513804,Captain America: Brave New World,2025,4.5,"Também conhecido como capitão America sem capitão América, não é tão ruim quanto eu esperava. Dá pra se divertir até.

Mas tipo, vilão ruim, o cara fazendo mil coisas sobre-humanas sem ter tomado o soro de super soldado, o Hulk vermelho sendo derrotado com uma solução muito ruim. Enfim, um monte de coisas que me incomodaram.

Já teve filmes piores da Marvel. Consigo perdoar esse até. Mas o que eu não perdoo é a cena pós créditos minha nossa que coisa ruim não faz o menor sentido.",2025,True,False
tt20215234,Conclave,2024,7.0,"Depois desse marketing todo, tive que ver.

Em Conclave (2024) nós acompanhamos o Decano Lawrence em sua missão de organizar o Conclave após o Papa morrer. Mas como diria a Selena Gomez: nem tudo é o que parece ser.

O filme deixa muito claro que existe uma ala progressista e uma ala conservadora. Progressista aqui significa basicamente não odiar gays, já conservador é odiar gays, muçulmanos, etc. E o filme tem um lado, o lado liberal. E não deixa dúvidas que os conservadores são a oposição que nosso personagem principal precisa combater, afinal, a igreja não pode retroceder há como era 50 anos atrás. Nisso, o filme é bastante caricato, com os personagens e suas opiniões entrando nessas caixinhas sem muito espaço pra nuances.

Bom, com essa premissa, fui me deixando levar pelo filme. É muito interessante ver o jogo dos votos, as estratégias sendo feitas quando novas informações chegam a publico.

O filme é muito bem dirigido. Uma fotografia muito linda, tudo muito bem feito. Eu geralmente relevo a ideologia do filme, mesmo que eu discorde. Então tava até gostando, mas o final já achei paia. Não estrega totalmente o filme, mas é decepcionante. Pra um filme que foi construindo tudo tão devagar, um candidato vencendo meio do nada foi bem chato. E depois de escolhido o Papa, não dá tempo de fazer uma discussão mais profunda e nem ao menos ver a reação das pessoas. Não foi um bom final.",2025,True,False
tt34874258,Cunk on Life,2024,7.5,,2025,False,False
tt12299608,Mickey 17,2024,7.5,"É bom. Acho que o mundo não tava preparado para uma ficção científica assim, mas pra um fã de Doctor Who é um passeio na praça. Inclusive algumas vezes o filme me pareceu um prequel de “Dot and Bubble”, um ep da 1° temporada da Disney.

Acredito que o filme se sustente sozinho mesmo sem considerar as críticas sociais. Mas agora focando nelas, dessa vez ficaram muito mais escrachadas, acho que podiam ter feito de maneira mais inteligente. As críticas me lembraram muito mais **Não Olhe para Cima (2021)** do que **Parasita (2019)**, o outro filme do Bong Joon-ho que fez ele conseguir tanta verba pra fazer esse aqui.

obs: Não precisa ver os outros 16 filmes do Mickey pra entender esse.",2025,False,False
tt0079501,Mad Max,1979,5.0,"Do mesmo diretor de **Babe - O Porquinho Atrapalhado (1995)** e **Babe - O Porquinho Atrapalhado na Cidade (1998)**, aqui inicia uma das maiores sagas de todos os tempos: Mad Max!

Mas esse inicio aqui é bem chato. Tá eu entendo, filme antigo e tals. Mas tirando o ritmo lento, o filme não é ruim. E é interessante ver o começo de tudo.",2025,False,False
tt0082694,Mad Max 2,1981,6.1,"Agora a gente começa a ver o Mad Max que todo mundo conhece. Mundo pós-apocalíptico, muito deserto e gente doida. Esse aqui é o melhor da trilogia original.",2025,False,False
tt0089530,Mad Max Beyond Thunderdome,1985,4.5,"É ruim. Começa bem até, a gente vai relevando algumas coisas mas depois fica só ruim mesmo.",2025,False,False
tt1392190,Mad Max: Fury Road,2015,9.2,"Ah finalmente os refrescos. Esse aqui é a estrela da franquia! De longe, o melhor! Inclusive considerado por muitos o melhor filme de ação de todos os tempos. Não faço a menor ideia de como que fizeram esse filme sem ter matado ninguém no processo, pq que espetáculo de explosões, corridas, acrobacias e tudo que tem direito.",2025,False,False
tt12037194,Furiosa: A Mad Max Saga,2024,8.0,"É bom! Claro, não é um estrada da fúria, mas é um prequel que não faz vergonha nenhuma. Tem historia, tem ação e ainda me fez entender melhor o estrada da fúria, explorando melhor o universo de uma maneira muito legal.",2025,False,False
tt0081505,The Shining,1980,9.0,"Simplesmente cinema. Stanley Kubrick tá de parabéns.

Esse filme leva seu tempo para construir o terreno, mas é tudo feito de maneira impecável. Você fica realmente se importando com os personagens e entende o que leva as coisas acontecerem daquele jeito. Tudo isso sem ser chato e lento como **2001 - Uma Odisseia no Espaço (1968)**, que apesar de ser um grande filme não deixa ser cansativo em alguns momentos.

E tudo perfeito. O cenário, o modo que as filmagens são feitas, a trilha sonora, as atuações. Tudo ajuda a contar a história e contribui para imersão.",14/09/2024,False,False
tt5606664,Doctor Sleep,2019,8.0,"é MUITO BOM VÉI! Imagina o desafio de fazer uma sequência pra O Iluminado. O filme do Stanley Kubrick. Mesmo assim aqui o diretor foi muito bem.

Primeiro que atualizou o filme pra um ritmo moderno. Sem takes longos. Esse filme me entreteve bem mais que o outro. Não vou cometer o crime de dizer que ele é melhor que o anterior, tenham calma. Mas é sim bem mais palatável para audiências modernas (gente não cult) e posso recomendar com menos medo.

Só pra eu não ficar aqui só falando bem, uma coisa que me incomodou um pouco nesse filme é que ele é mais literal que o outro. Ele explica as coisas melhor, inclusive coisas do filme anterior. Isso é bom, até me ajudou a entender melhor o Iluminado. Mas, ao mesmo tempo, tira um pouco do mistério, da dúvida. Às vezes é bom deixar as coisas nas entrelinhas.

Esse filme tbm tira um pouco do ar mistico, então medo mesmo eu senti menos nesse filme. Tipo, se antes os poderes eram algo inexplicável, mistico, tipo o garotinho do **O Sexto Sentido (1999)**, aqui tá mais pra uns X-men.

Mas pô. A ideia toda dessa saga é muito boa todo o conceito é muito interessante. Acho que de terror, não consigo lembrar aqui algum filme que eu tenha assistido melhor que esses dois.",2024,False,False
